"id";"clientID";"lookupTypeID";"lookupSubTypeID";"lookupOrder";"lookupValueNum";"lookupValueChar";"lookupDescription";"disabled";"createdDate";"createdBy";"updatedDate";"updatedBy";"deletedDate";"deletedBy"
52;0;8;23;11;23;"Security";"problem Type - security failure";"";"2016-04-19 21:55:00";0;"";0;"";0
53;0;9;1;10;1;"Equipment Failure";"Problem subtype - Equipment Failure";"";"2012-09-22 23:20:26";1;"";0;"";0
54;0;9;2;65;2;"Organisational Failure";"Problem subtype - Organisational Failure";"";"2012-09-22 23:20:26";0;"";0;"";0
55;0;9;4;5;4;"Communications Failure";"Problem subtype - Communications Failure";"";"2013-10-15 19:49:38";1;"";0;"";0
56;0;9;5;50;5;"Logistics Failure";"Problem subtype - Logistics Failure";"";"2013-10-15 19:56:13";1;"";0;"";0
57;0;9;6;30;6;"Infrastructure Failure";"Problem subtype - Infrastructure Failure";"";"2013-10-15 19:59:19";1;"";0;"";0
58;0;9;7;120;7;"Staffing Failure";"Problem subtype - Staffing Failure";"";"2013-10-15 20:03:31";1;"";0;"";0
59;0;9;9;130;9;"Supply Failure";"Problem subtype - Supply Failure";"";"2013-10-15 20:07:40";1;"";0;"";0
60;0;9;10;90;10;"Power Failure";"Problem subtype - Power Failure";"";"2013-10-15 20:08:30";1;"";0;"";0
61;0;9;11;100;11;"Quality Failure";"Problem subtype - Quality Failure";"";"2013-10-15 20:08:55";1;"";0;"";0
62;0;9;12;70;12;"Planning Failure";"Problem subtype - Planning Failure";"";"2013-10-15 20:09:22";1;"";0;"";0
63;0;9;13;40;13;"Legal Failure";"Problem subtype - Legal Failure";"";"2013-10-15 20:09:47";1;"";0;"";0
64;0;9;14;140;14;"Transport Failure";"Problem subtype - Transport Failure";"";"2013-10-15 20:10:33";1;"";0;"";0
65;0;9;15;80;15;"Public Relations Failure";"Problem subtype - Public Relations Failure";"";"2013-10-15 20:12:36";1;"";0;"";0
66;0;9;16;110;16;"Research Failure";"Problem subtype - Research Failure";"";"2013-10-15 20:13:28";1;"";0;"";0
67;0;9;17;60;17;"Material Failure";"Problem subtype - Matrial Failure";"";"2013-10-15 20:13:52";1;"";0;"";0
68;0;9;18;20;18;"Human Resources Failure";"Problem subtype - Human Resources Failure";"";"2012-09-22 23:20:26";1;"";0;"";0
69;0;10;1;1;1;"Network";"Problem scope - Network";"";"2012-09-22 23:20:25";1;"";0;"";0
70;0;10;2;0;2;"Global";"Problem scope - Global";"";"2012-09-22 23:20:26";1;"";0;"";0
71;0;10;3;0;3;"One site";"Problem scope - One site";"";"2012-09-22 23:20:26";1;"";0;"";0
72;0;10;4;0;4;"One product or service";"Problem scope - One product or service";"";"2012-09-22 23:20:26";1;"";0;"";0
73;0;10;5;0;5;"No-one affected";"Problem scope - No-one affected";"";"2012-09-22 23:20:26";1;"";0;"";0
74;0;11;1;0;1;"New";"Problem status - New";"";"2012-09-22 23:20:26";1;"";0;"";0
75;0;11;2;0;2;"Under investigation";"Problem ststus - Under investigation";"";"2012-09-22 23:20:26";1;"";0;"";0
76;0;11;3;0;3;"Resolution in progress";"Problem status - Resolution in progress";"";"2012-09-22 23:20:26";1;"";0;"";0
77;0;11;4;0;4;"Resolved";"Problem status - Resolved";"";"2012-09-22 23:20:26";1;"";0;"";0
78;0;12;1;0;1;"Critical";"Problem priority - Critical";"";"2012-09-22 23:20:26";1;"";0;"";0
79;0;12;2;0;2;"Major";"Problem priority - Major";"";"2012-09-22 23:20:26";1;"";0;"";0
80;0;12;3;0;3;"Medium";"Problem priority - Medium";"";"2012-09-22 23:20:26";1;"";0;"";0
81;0;12;4;0;4;"Minor";"Problem priority - Minor";"";"2012-09-22 23:20:26";1;"";0;"";0
82;0;13;1;0;1;"Agree scope";"Time type - agree scope";"";"2012-09-22 23:20:26";1;"";0;"";0
83;0;13;2;0;2;"Investigate";"Time type - investigate";"";"2012-09-22 23:20:26";1;"";0;"";0
84;0;13;3;0;3;"Working on it";"Time type - working on it";"";"2012-09-22 23:20:26";1;"";0;"";0
85;0;13;4;0;4;"Testing";"Time type - testing";"";"2012-09-22 23:20:26";1;"";0;"";0
