"organisationID";"clientID";"organisationName";"createdDate";"createdBy";"updatedDate";"updatedBy";"deletedDate";"deletedBy"
1;1;"Northern Media Services";"2013-09-24 13:09:53";4;"2014-02-07 11:11:11";1;"";0
2;2;"WMPS";"2013-09-25 15:13:16";4;"";0;"";0
