"clientID";"lookupTypeID";"lookupSubTypeID";"lookupOrder";"lookupValueNum";"lookupValueChar";"lookupDescription";"createdDate";"createdBy";"updatedDate";"updatedBy";"deletedDate";"deletedBy"
0;9;11;100;11;"Quality Failure";"Problem subtype - Quality Failure";"2013-10-15 20:08:55";1;"";0;"";0
0;9;12;70;12;"Planning Failure";"Problem subtype - Planning Failure";"2013-10-15 20:09:22";1;"";0;"";0
0;9;13;40;13;"Legal Failure";"Problem subtype - Legal Failure";"2013-10-15 20:09:47";1;"";0;"";0
0;9;14;140;14;"Transport Failure";"Problem subtype - Transport Failure";"2013-10-15 20:10:33";1;"";0;"";0
0;9;15;80;15;"Public Relations Failure";"Problem subtype - Public Relations Failure";"2013-10-15 20:12:36";1;"";0;"";0
0;9;16;110;16;"Research Failure";"Problem subtype - Research Failure";"2013-10-15 20:13:28";1;"";0;"";0
0;9;17;60;17;"Material Failure";"Problem subtype - Matrial Failure";"2013-10-15 20:13:52";1;"";0;"";0
0;9;18;20;18;"Human Resources Failure";"Problem subtype - Human Resources Failure";"0000-00-00 00:00:00";1;"";0;"";0
0;10;1;1;1;"Network";"Problem scope - Network";"2012-09-22 23:20:25";1;"";0;"";0
0;10;2;0;2;"Global";"Problem scope - Global";"2012-09-22 23:20:26";1;"";0;"";0
0;10;3;0;3;"One site";"Problem scope - One site";"2012-09-22 23:20:26";1;"";0;"";0
0;10;4;0;4;"One product or service";"Problem scope - One product or service";"2012-09-22 23:20:26";1;"";0;"";0
0;10;5;0;5;"No-one affected";"Problem scope - No-one affected";"2012-09-22 23:20:26";1;"";0;"";0
0;11;1;0;1;"New";"Problem status - New";"2012-09-22 23:20:26";1;"";0;"";0
0;11;2;0;2;"Under investigation";"Problem status - Under investigation";"2012-09-22 23:20:26";1;"";0;"";0
0;11;3;0;3;"Resolution in progress";"Problem status - Resolution in progress";"2012-09-22 23:20:26";1;"";0;"";0
0;11;4;0;4;"Resolved";"Problem status - Resolved";"2012-09-22 23:20:26";1;"";0;"";0
0;12;1;0;1;"Critical";"Problem priority - Critical";"2012-09-22 23:20:26";1;"";0;"";0
0;12;2;0;2;"Major";"Problem priority - Major";"2012-09-22 23:20:26";1;"";0;"";0
0;12;3;0;3;"Medium";"Problem priority - Medium";"2012-09-22 23:20:26";1;"";0;"";0
0;12;4;0;4;"Minor";"Problem priority - Minor";"2012-09-22 23:20:26";1;"";0;"";0
0;13;1;0;1;"Agree scope";"Time type - agree scope";"2012-09-22 23:20:26";1;"";0;"";0
0;13;2;0;2;"Investigate";"Time type - investigate";"2012-09-22 23:20:26";1;"";0;"";0
0;13;3;0;3;"Working on it";"Time type - working on it";"2012-09-22 23:20:26";1;"";0;"";0
0;13;4;0;4;"Testing";"Time type - testing";"2012-09-22 23:20:26";1;"";0;"";0
0;13;5;0;5;"Testing";"Time type - testing";"2012-09-22 23:20:26";1;"";0;"";0
0;13;6;0;6;"Going through with customer";"Time type - with customer";"2012-09-22 23:20:26";1;"";0;"";0
0;13;7;0;7;"Finalizing";"Time type - finalizing";"2012-09-22 23:20:26";1;"";0;"";0
0;13;8;0;8;"Other";"Time type - other";"2012-09-22 23:20:26";1;"";0;"";0
0;13;9;0;9;"Negotiating";"Time type - negotiating";"2012-09-22 23:20:26";1;"";0;"";0
0;13;10;0;10;"Drafting contract";"Time type - drafting contract";"2012-09-22 23:20:26";1;"";0;"";0
0;13;11;0;11;"Conflict resolution";"Time type - conflict resolution";"2012-09-22 23:20:26";1;"";0;"";0
0;14;0;0;1;"Time";"Reports - Time";"2012-09-22 23:20:26";1;"";0;"";0
0;15;1;0;1;"Time";"Reports - Time";"2012-09-22 23:20:26";1;"";0;"";0
0;15;2;0;2;"Projects";"Reports - Projects";"2012-09-22 23:20:26";1;"";0;"";0
0;15;3;0;3;"Problems";"Reports - Problems";"2012-09-22 23:20:26";1;"";0;"";0
0;15;4;0;4;"Activity";"Reports - Activity";"2012-09-22 23:20:26";1;"";0;"";0
0;18;1;0;5;"New";"New Invoice";"2012-09-22 23:20:26";1;"";0;"";0
0;18;2;0;5;"Refused";"Invoice Refused";"2012-09-22 23:20:26";1;"";0;"";0
0;18;5;0;5;"Paid";"Invoice Paid";"2012-09-22 23:20:26";1;"";0;"";0
0;19;1;0;1;"Extreme";"Importance - Extreme";"0000-00-00 00:00:00";0;"";0;"";0
0;19;2;0;2;"Very";"Importance - Very";"0000-00-00 00:00:00";0;"";0;"";0
0;19;3;0;3;"Medium";"Importance - Medium";"0000-00-00 00:00:00";0;"";0;"";0
0;19;4;0;4;"Minor";"Importance - Minor";"0000-00-00 00:00:00";0;"";0;"";0
0;19;5;0;5;"Insignificant";"Importance - Insignificant";"0000-00-00 00:00:00";0;"";0;"";0
0;20;1;1;1;"Very happy";"Opinion - Very happy";"0000-00-00 00:00:00";0;"";0;"";0
0;20;2;2;2;"Happy";"Opinion - Happy";"0000-00-00 00:00:00";0;"";0;"";0
0;20;3;3;3;"Satisfied";"Opinion - Satisfied";"0000-00-00 00:00:00";0;"";0;"";0
0;20;4;4;4;"Worried";"Opinion - Worried";"0000-00-00 00:00:00";0;"";0;"";0
0;20;5;5;5;"Very worried";"Opinion - Very worried";"0000-00-00 00:00:00";0;"";0;"";0
0;21;1;1;1;"New";"Task - New";"0000-00-00 00:00:00";0;"";0;"";0
0;21;2;2;2;" Excellent progress";"Task - Excellent progress";"0000-00-00 00:00:00";0;"";0;"";0
0;21;3;4;3;"Acceptable progress";"Task - Acceptable progress";"0000-00-00 00:00:00";0;"";0;"";0
0;21;4;5;4;"Poor progress";"Task - Poor progress";"0000-00-00 00:00:00";0;"";0;"";0
0;21;5;6;5;"Very Poor progress";"Task - Very poor progress";"0000-00-00 00:00:00";0;"";0;"";0
0;21;6;3;6;"Good progress";"Task - Good progress";"0000-00-00 00:00:00";0;"";0;"";0
0;21;7;7;7;"Complete";"Task - Complete";"0000-00-00 00:00:00";0;"";0;"";0
0;21;8;8;8;"Cancelled";"Task - Cancelled";"0000-00-00 00:00:00";0;"";0;"";0
0;21;9;9;9;"Abandoned";"Task - Abandoned";"0000-00-00 00:00:00";0;"";0;"";0
0;21;10;10;19;"On Hold";"Task - On Hold";"0000-00-00 00:00:00";0;"";0;"";0
